any.==          compares datatypes
array.binop     binary operations in arrays
array.rand      random populates an arrays
array.unop      unary operations in arrays
ls.binop        binary operations in list
ls.butlast      list but the last element
ls.choose       random choose an element of the list
ls.circgroup    groups elements into a circular list
ls.getRotate    N rotated element of a list
ls.get          alias for ls.getRotate
ls.group        groups elements into a list
ls.iter         list iteration
ls.last         last element of the list
ls.max          greatest element of a list
ls.mean         mean of the floats in a list
ls.min          minimum element in a list
ls.mode         mode of a list
ls.nearest      gets closest value, index and difference in a list by giving a target value
ls.quicksort    quicksort algorithm implemented as a vanilla abstraction
ls.removeAt     removes element at index
ls.rotate       N rotation of a list
ls.scramble     randomize elements in a list
ls.shuffle      alias for ls.scramble
ls.ser.arithm   build an artithmetic series list
ls.splice       replaces element in a list with anothe list
ls.sum          sums elements in a list
ls.unop         perform arbitrary unary operations in elements of a list
mtxgui          vanilla matrix interface
mtxstep         vanilla step sequencer with some non-usual features
osc.in          simple way to receive OSC messages (UDP/binary, -f -u -b)
osc.io          simple one-way or two-way OSC communication (over UDP/binary)
osc.out         alias for osc.io
osc.match       simple osc message matching/routing
osc.route       alias for osc.match
packOSC         alias for slash.oscformat
slash.oscformat tool to formating slash-styled osc lists
slash.oscroute  tool to routing slash-styled osc lists
slash.rawlist   removes slashes and returns raw list of osc address elements and message arguments
symbol.==       test if two symbols are equal
symbol.split    splits a symbol according to a char
symbol.value    stores a symbol value, just like [value] doest for floats
symbol.v        alias for symbol.value
